Precio,Ubicacion,Detalles,precio_peso,m2_totales,dormitorios,banos,comuna,precio_m2
UF4.367,"San Isidro 513, Santiago, Santa Isabel, Santiago",2 dormitorios 2 baños 44 m² útiles,165946000,44.0,2.0,2.0,Santiago,3771500.0
UF2.918,"Pedro De La Barra 1732, Santiago, Parque Los Reyes, Santiago",1 a 2 dormitorios 1 a 2 baños 31 - 61 m² útiles,110884000,46.0,2.0,2.0,Santiago,2410521.7391304346
UF2.609,"Av. Pdte. Balmaceda 2500, Santiago, Parque Los Reyes, Santiago",Estudio a 3 dormitorios 1 a 2 baños 25 - 66 m² útiles,99142000,45.5,3.0,2.0,Santiago,2178945.054945055
UF2.299,"Arturo Prat 1756, Santiago, Parque O'Higgins, Santiago",1 dormitorio 1 baño 30 m² útiles,87362000,30.0,1.0,1.0,Santiago,2912066.6666666665
UF3.855,"Corte Suprema 196, Santiago, Bulnes, Santiago",2 dormitorios 2 baños 47 m² útiles,146490000,47.0,2.0,2.0,Santiago,3116808.510638298
UF2.626,"Pedro De La Barra 1732, Parque Los Reyes, Santiago",1 a 2 dormitorios 1 a 2 baños 31 - 61 m² útiles,99788000,46.0,2.0,2.0,Santiago,2169304.347826087
UF3.022,"Sta. Elena 1670, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 30 - 50 m² útiles,114836000,40.0,2.0,2.0,Santiago,2870900.0
UF2.780,"Cóndor 1152, Santiago, Parque Almagro, Santiago",1 dormitorio 1 baño 26 - 31 m² útiles,105640000,28.5,1.0,1.0,Santiago,3706666.6666666665
UF2.260,"Av. Mapocho 2880, Santiago, Parque Los Reyes, Santiago",1 a 2 dormitorios 1 a 2 baños 32 - 48 m² útiles,85880000,40.0,2.0,2.0,Santiago,2147000.0
UF2.307,"Santa Rosa 1350, Santiago",1 a 2 dormitorios 1 a 2 baños 19 - 66 m² útiles,87666000,42.5,2.0,2.0,Santiago,2062729.4117647058
UF2.120,"Juan Martínez De Rozas 2938, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 23 - 48 m² útiles,80560000,35.5,2.0,2.0,Santiago,2269295.7746478873
UF2.990,"Huérfanos 801, Santiago, Centro Histórico De Santiago, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 57 m² útiles,113620000,42.5,2.0,2.0,Santiago,2673411.7647058824
UF1.953,"Capitán Wood 2041, Parque O'Higgins, Santiago",Estudio a 2 dormitorios 1 a 2 baños 26 - 51 m² útiles,74214000,38.5,2.0,2.0,Santiago,1927636.3636363635
UF2.437,"Diez De Julio 1500, Parque Almagro, Santiago",Estudio a 3 dormitorios 1 a 3 baños 27 - 74 m² útiles,92606000,50.5,3.0,3.0,Santiago,1833782.1782178218
UF2.578,"Curicó 77, Santiago, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 21 - 48 m² útiles,97964000,34.5,2.0,2.0,Santiago,2839536.231884058
UF2.450,"Av. Vicuña Mackenna 1885, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 65 m² útiles,93100000,46.5,2.0,2.0,Santiago,2002150.5376344086
UF2.685,"Miraflores 476, Centro Histórico De Santiago, Santiago",1 a 2 dormitorios 1 a 2 baños 26 - 52 m² útiles,102030000,39.0,2.0,2.0,Santiago,2616153.846153846
UF2.458,"Marín 443, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 32 - 56 m² útiles,93404000,44.0,2.0,2.0,Santiago,2122818.1818181816
UF2.331,"Toesca 2145, Barrio República, Santiago",Estudio a 2 dormitorios 1 a 2 baños 24 - 44 m² útiles,88578000,34.0,2.0,2.0,Santiago,2605235.294117647
UF2.154,"Presidente Balmaceda 2500, Parque Los Reyes, Santiago",Estudio a 3 dormitorios 1 a 2 baños 25 - 66 m² útiles,81852000,45.5,3.0,2.0,Santiago,1798945.054945055
UF3.489,"José Miguel Carrera 86, Ejército - Toesca, Santiago",Estudio a 1 dormitorios 1 baño 23 - 35 m² útiles,132582000,29.0,1.0,1.0,Santiago,4571793.1034482755
UF2.285,"Avenida España 702, Santiago, Chile, Barrio República, Santiago",1 a 2 dormitorios 1 a 2 baños 23 - 55 m² útiles,86830000,39.0,2.0,2.0,Santiago,2226410.2564102565
UF2.540,"Almi, Barrio Brasil, Santiago",1 a 2 dormitorios 1 a 2 baños 22 - 51 m² útiles,96520000,36.5,2.0,2.0,Santiago,2644383.5616438356
UF2.800,"Av. Vicuña Mackenna 2189, Santiago, San Joaquín, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles,106400000,43.0,2.0,2.0,Santiago,2474418.604651163
UF2.828,"Santo Domingo 3810, Santiago, Santiago",Estudio a 1 dormitorios 1 baño 24 - 34 m² útiles,107464000,29.0,1.0,1.0,Santiago,3705655.172413793
UF2.888,"Juan Martínez De Rozas 2262, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 50 m² útiles,109744000,36.0,2.0,2.0,Santiago,3048444.4444444445
UF2.345,"Franklin 200, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 35 - 57 m² útiles,89110000,46.0,2.0,2.0,Santiago,1937173.9130434783
UF2.790,"General Jofré 376, Santiago, Chile, Santa Isabel, Santiago",1 dormitorio 1 baño 31 m² útiles,106020000,31.0,1.0,1.0,Santiago,3420000.0
UF2.412,"Santo Domingo 3810, Santiago, Santiago",Estudio a 1 dormitorios 1 baño 27 - 34 m² útiles,91656000,30.5,1.0,1.0,Santiago,3005114.7540983604
UF2.816,"Arturo Prat 264, Bulnes, Santiago",1 a 2 dormitorios 1 a 2 baños 24 - 53 m² útiles,107008000,38.5,2.0,2.0,Santiago,2779428.5714285714
UF4.428,"Eleuterio Ramirez 1427, Parque Almagro, Santiago",2 dormitorios 2 baños 56 - 57 m² útiles,168264000,56.5,2.0,2.0,Santiago,2978123.8938053097
UF2.531,"Maipú 1196, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 48 m² útiles,96178000,35.0,2.0,2.0,Santiago,2747942.8571428573
UF3.194,"Av. San Pablo & Avenida Manuel Rodríguez, Santiago, Chile, Barrio Brasil, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 52 m² útiles,121372000,42.5,2.0,2.0,Santiago,2855811.7647058824
UF3.376,"Av. Rosas 1220, Centro Histórico De Santiago, Santiago",2 dormitorios 1 a 2 baños 44 - 62 m² útiles,128288000,53.0,2.0,2.0,Santiago,2420528.3018867923
UF2.504,"Zenteno 1276, Parque O'Higgins, Santiago",1 a 3 dormitorios 1 a 2 baños 31 - 59 m² útiles,95152000,45.0,3.0,2.0,Santiago,2114488.888888889
UF3.180,"Padre Orellana 1308, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 38 - 53 m² útiles,120840000,45.5,2.0,2.0,Santiago,2655824.175824176
UF2.513,"Juan Martínez De Rozas 2262, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 50 m² útiles,95494000,36.0,2.0,2.0,Santiago,2652611.111111111
UF2.886,"San Isidro 513, Santiago, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 30 - 44 m² útiles,109668000,37.0,2.0,2.0,Santiago,2964000.0
UF2.720,"Toesca 2576, Santiago, Barrio República, Santiago",Estudio a 2 dormitorios 1 a 2 baños 33 - 60 m² útiles,103360000,46.5,2.0,2.0,Santiago,2222795.698924731
UF1.870,"General González Balcarce 2020, Parque O'Higgins, Santiago",1 dormitorio 1 baño 18 - 34 m² útiles,71060000,26.0,1.0,1.0,Santiago,2733076.923076923
UF1.957,"Calle Yungay 2570, Parque Los Reyes, Santiago",1 a 3 dormitorios 1 a 2 baños 27 - 62 m² útiles,74366000,44.5,3.0,2.0,Santiago,1671146.0674157303
UF2.150,"Tocornal 636, Santa Isabel, Santiago",Estudio a 3 dormitorios 1 a 2 baños 28 - 67 m² útiles,81700000,47.5,3.0,2.0,Santiago,1720000.0
