Precio,Ubicacion,Detalles
UF2.450,"Av. Vicuña Mackenna 1885, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 65 m² útiles
UF2.685,"Miraflores 476, Centro Histórico De Santiago, Santiago",1 a 2 dormitorios 1 a 2 baños 26 - 52 m² útiles
UF2.458,"Marín 443, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 32 - 56 m² útiles
UF2.331,"Toesca 2145, Barrio República, Santiago",Estudio a 2 dormitorios 1 a 2 baños 24 - 44 m² útiles
UF2.154,"Presidente Balmaceda 2500, Parque Los Reyes, Santiago",Estudio a 3 dormitorios 1 a 2 baños 25 - 66 m² útiles
UF3.489,"José Miguel Carrera 86, Ejército - Toesca, Santiago",Estudio a 1 dormitorios 1 baño 23 - 35 m² útiles
UF2.285,"Avenida España 702, Santiago, Chile, Barrio República, Santiago",1 a 2 dormitorios 1 a 2 baños 23 - 55 m² útiles
UF2.540,"Almi, Barrio Brasil, Santiago",1 a 2 dormitorios 1 a 2 baños 22 - 51 m² útiles
UF2.800,"Av. Vicuña Mackenna 2189, Santiago, San Joaquín, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles
UF2.828,"Santo Domingo 3810, Santiago, Santiago",Estudio a 1 dormitorios 1 baño 24 - 34 m² útiles
UF2.888,"Juan Martínez De Rozas 2262, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 50 m² útiles
UF2.345,"Franklin 200, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 35 - 57 m² útiles
UF2.790,"General Jofré 376, Santiago, Chile, Santa Isabel, Santiago",1 dormitorio 1 baño 31 m² útiles
UF2.412,"Santo Domingo 3810, Santiago, Santiago",Estudio a 1 dormitorios 1 baño 27 - 34 m² útiles
UF2.816,"Arturo Prat 264, Bulnes, Santiago",1 a 2 dormitorios 1 a 2 baños 24 - 53 m² útiles
UF4.428,"Eleuterio Ramirez 1427, Parque Almagro, Santiago",2 dormitorios 2 baños 56 - 57 m² útiles
UF2.531,"Maipú 1196, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 48 m² útiles
UF3.194,"Av. San Pablo & Avenida Manuel Rodríguez, Santiago, Chile, Barrio Brasil, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 52 m² útiles
UF3.376,"Av. Rosas 1220, Centro Histórico De Santiago, Santiago",2 dormitorios 1 a 2 baños 44 - 62 m² útiles
UF2.504,"Zenteno 1276, Parque O'Higgins, Santiago",1 a 3 dormitorios 1 a 2 baños 31 - 59 m² útiles
UF3.180,"Padre Orellana 1308, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 38 - 53 m² útiles
UF2.513,"Juan Martínez De Rozas 2262, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 50 m² útiles
UF2.886,"San Isidro 513, Santiago, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 30 - 44 m² útiles
UF2.720,"Toesca 2576, Santiago, Barrio República, Santiago",Estudio a 2 dormitorios 1 a 2 baños 33 - 60 m² útiles
UF1.870,"General González Balcarce 2020, Parque O'Higgins, Santiago",1 dormitorio 1 baño 18 - 34 m² útiles
UF1.957,"Calle Yungay 2570, Parque Los Reyes, Santiago",1 a 3 dormitorios 1 a 2 baños 27 - 62 m² útiles
UF2.150,"Tocornal 636, Santa Isabel, Santiago",Estudio a 3 dormitorios 1 a 2 baños 28 - 67 m² útiles
UF2.153,"Compañía De Jesús 1735, Barrio Brasil, Santiago",Estudio a 2 dormitorios 1 a 2 baños 23 - 55 m² útiles
UF2.332,"San Diego 2044, Santiago, Franklin - Biobío, Santiago",1 a 2 dormitorios 1 a 2 baños 34 - 51 m² útiles
UF1.782,"Abate Molina 590, Santiago, Barrio República, Santiago",1 a 2 dormitorios 1 a 2 baños 20 - 43 m² útiles
